Nombre,MAC,IP_Reservada
CASTEL-01,08-BF-B8-BE-76-66,192.168.0.101
CASTEL-02,08-BF-B8-36-6C-21,192.168.0.102
CASTEL-03,08-BF-B8-36-6F-B6,192.168.0.103
CASTEL-04,08-BF-B8-36-6E-6E,192.168.0.104
CASTEL-05,08-BF-B8-36-6E-D7,192.168.0.105
CASTEL-06,08-BF-B8-36-70-4F,192.168.0.106
CASTEL-07,08-BF-B8-36-6B-32,192.168.0.107
CASTEL-08,08-BF-B8-36-6C-04,192.168.0.108
CASTEL-09,08-BF-B8-36-6C-2A,192.168.0.109
CASTEL-10,08-BF-B8-36-6B-67,192.168.0.110
CASTEL-11,08-BF-B8-36-6B-5A,192.168.0.111
CASTEL-12,08-BF-B8-6E-20-29,192.168.0.112
CASTEL-13,08-BF-B8-36-6B-4A,192.168.0.113
CASTEL-14,30-9C-23-D4-B9-D2,192.168.0.114
CASTEL-15,08-BF-B8-A3-8B-87,192.168.0.115
CASTEL-16,08-BF-B8-A3-8A-3C,192.168.0.116
CASTEL-17,08-BF-B8-A3-8B-7E,192.168.0.117
CASTEL-18,08-BF-B8-A3-8B-32,192.168.0.118
CASTEL-19,08-BF-B8-A3-89-FB,192.168.0.119
CASTEL-20,08-BF-B8-A2-2B-5F,192.168.0.120
CASTEL-21,08-BF-B8-A2-2B-19,192.168.0.121
CASTEL-22,08-BF-B8-6E-1F-F0,192.168.0.122
CASTEL-23,30-9C-23-0C-68-CD,192.168.0.123
CASTEL-24,08-BF-B8-6E-20-45,192.168.0.124
CASTEL-25,08-BF-B8-6E-20-F3,192.168.0.125
CASTEL-26,08-BF-B8-6E-20-4B,192.168.0.126
CASTEL-27,08-BF-B8-6E-1F-F5,192.168.0.127
CASTEL-28,04-7C-16-BD-C2-C6,192.168.0.128
CASTEL-29,04-7C-16-BD-C2-CF,192.168.0.129
CASTEL-30,04-7C-16-BD-C3-2F,192.168.0.130
CASTEL-31,04-7C-16-BD-C2-9C,192.168.0.131
CASTEL-32,04-7C-16-BD-C2-94,192.168.0.132
CASTEL-33,04-7C-16-BD-C2-E4,192.168.0.133
CASTEL-34,08-BF-B8-A3-8A-CD,192.168.0.134
CASTEL-35,08-BF-B8-BE-76-FC,192.168.0.135
CASTEL-36,08-BF-B8-BE-77-0D,192.168.0.136
CASTEL-37,08-BF-B8-A3-8B-95,192.168.0.137
CASTEL-38,04-7C-16-BD-C2-AD,192.168.0.138
CASTEL-39,08-BF-B8-BE-76-3A,192.168.0.139
CASTEL-40,30-9C-23-09-06-4C,192.168.0.140
CASTEL-41,30-9C-23-AA-BF-D8,192.168.0.141
