"Host","Status","User","Detail"
"192.168.0.101","OK","192.168.0.101\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.102","OK","192.168.0.102\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.104","OK","192.168.0.104\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.105","OK","192.168.0.105\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.106","OK","192.168.0.106\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.107","OK","192.168.0.107\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.108","OK","192.168.0.108\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.109","OK","192.168.0.109\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.110","OK","192.168.0.110\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.112","OK","192.168.0.112\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.113","OK","192.168.0.113\Usuario","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.115","OK","192.168.0.115\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.116","OK","192.168.0.116\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.118","OK","192.168.0.118\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.120","OK","192.168.0.120\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.121","OK","192.168.0.121\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.122","OK","192.168.0.122\Usuario","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.123","OK","192.168.0.123\Profesor","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.124","OK","192.168.0.124\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.125","OK","192.168.0.125\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.126","OK","192.168.0.126\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.127","OK","192.168.0.127\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.128","OK","192.168.0.128\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.129","OK","192.168.0.129\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.130","OK","192.168.0.130\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.131","OK","192.168.0.131\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.132","OK","192.168.0.132\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.134","OK","192.168.0.134\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.135","OK","192.168.0.135\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.136","OK","192.168.0.136\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.137","OK","192.168.0.137\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.138","OK","192.168.0.138\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.139","OK","192.168.0.139\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.140","OK","192.168.0.140\Usuario","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.141","OK","192.168.0.141\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.149","OK","192.168.0.149\Admin","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.201","OK","192.168.0.201\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.210","OK","192.168.0.210\Colegio","C:\ProgramData\CastelRemote\GUI_AGENTE_INTERACTIVO.ps1"
"192.168.0.248","NO_5985","","WinRM cerrado"
