"Host","Ok","User","Detail"
"192.168.0.101","False","","auth_or_adminshare_failed"
"192.168.0.102","False","","auth_or_adminshare_failed"
"192.168.0.103","False","","auth_or_adminshare_failed"
"192.168.0.104","False","","auth_or_adminshare_failed"
"192.168.0.105","False","","auth_or_adminshare_failed"
"192.168.0.106","False","","auth_or_adminshare_failed"
"192.168.0.107","False","","auth_or_adminshare_failed"
"192.168.0.108","False","","auth_or_adminshare_failed"
"192.168.0.109","False","","auth_or_adminshare_failed"
"192.168.0.110","False","","auth_or_adminshare_failed"
"192.168.0.111","False","","auth_or_adminshare_failed"
"192.168.0.112","False","","auth_or_adminshare_failed"
"192.168.0.113","False","","auth_or_adminshare_failed"
"192.168.0.114","False","","auth_or_adminshare_failed"
"192.168.0.115","False","","auth_or_adminshare_failed"
"192.168.0.116","False","","auth_or_adminshare_failed"
"192.168.0.117","False","","auth_or_adminshare_failed"
"192.168.0.118","False","","auth_or_adminshare_failed"
"192.168.0.119","False","","auth_or_adminshare_failed"
"192.168.0.120","False","","auth_or_adminshare_failed"
"192.168.0.121","False","","auth_or_adminshare_failed"
"192.168.0.122","False","","auth_or_adminshare_failed"
"192.168.0.123","False","","auth_or_adminshare_failed"
"192.168.0.124","False","","auth_or_adminshare_failed"
"192.168.0.125","False","","auth_or_adminshare_failed"
"192.168.0.126","False","","auth_or_adminshare_failed"
"192.168.0.127","False","","auth_or_adminshare_failed"
"192.168.0.128","False","","auth_or_adminshare_failed"
"192.168.0.129","False","","auth_or_adminshare_failed"
"192.168.0.130","False","","auth_or_adminshare_failed"
"192.168.0.131","False","","auth_or_adminshare_failed"
"192.168.0.132","False","","auth_or_adminshare_failed"
"192.168.0.133","False","","auth_or_adminshare_failed"
"192.168.0.134","False","","auth_or_adminshare_failed"
"192.168.0.135","False","","auth_or_adminshare_failed"
"192.168.0.136","False","","auth_or_adminshare_failed"
"192.168.0.137","False","","auth_or_adminshare_failed"
"192.168.0.138","False","","auth_or_adminshare_failed"
"192.168.0.139","False","","auth_or_adminshare_failed"
