CASTEL,IP,MAC,Name,WakeStatus,WinRM5985,Veyon11100
CASTEL-01,192.168.0.101,08-BF-B8-BE-76-66,DESKTOP-I9T3046,On,OK,OK
CASTEL-02,192.168.0.102,08-BF-B8-36-6C-21,DESKTOP-E6SPEH2,On,OK,OK
CASTEL-03,192.168.0.201,08-BF-B8-36-6F-B6,DESKTOP-TNGV5BQ,On,OK,OK
CASTEL-04,192.168.0.104,08-BF-B8-36-6E-6E,DESKTOP-6GQ51JK,On,OK,OK
CASTEL-05,192.168.0.105,08-BF-B8-36-6E-D7,DESKTOP-2IML0BD,On,OK,OK
CASTEL-06,192.168.0.106,08-BF-B8-36-70-4F,DESKTOP-66HNF6P,On,OK,OK
CASTEL-07,192.168.0.107,08-BF-B8-36-6B-32,DESKTOP-DCR1C3S,On,OK,OK
CASTEL-08,192.168.0.108,08-BF-B8-36-6C-04,DESKTOP-3QVL65G,On,OK,OK
CASTEL-09,192.168.0.109,08-BF-B8-36-6C-2A,DESKTOP-KNJ74BA,On,OK,OK
CASTEL-10,192.168.0.110,08-BF-B8-36-6B-67,DESKTOP-73NPRUC,On,OK,OK
CASTEL-11,192.168.0.219,08-BF-B8-36-6B-5A,DESKTOP-V3VLFM1,On,OK,OK
CASTEL-12,192.168.0.112,08-BF-B8-6E-20-29,DESKTOP-G701L9H,On,OK,OK
CASTEL-13,192.168.0.113,08-BF-B8-36-6B-4A,DESKTOP-NVET6HS,On,OK,OK
CASTEL-14,192.168.0.114,30-9C-23-D4-B9-D2,DESKTOP-H9S20CM,On,OK,OK
CASTEL-15,192.168.0.115,08-BF-B8-A3-8B-87,DESKTOP-BVTFJBO,On,OK,OK
CASTEL-16,192.168.0.116,08-BF-B8-A3-8A-3C,DESKTOP-7E5P01D,On,OK,OK
CASTEL-18,192.168.0.118,08-BF-B8-A3-8B-32,DESKTOP-MBF9SFV,On,OK,OK
CASTEL-19,192.168.0.153,08-BF-B8-A3-89-FB,DESKTOP-D1ATC1H,On,OK,OK
CASTEL-20,192.168.0.120,08-BF-B8-A2-2B-5F,DESKTOP-LA7EBS8,On,OK,OK
CASTEL-21,192.168.0.121,08-BF-B8-A2-2B-19,DESKTOP-2TILHL0,On,OK,OK
CASTEL-22,192.168.0.122,08-BF-B8-6E-1F-F0,DESKTOP-25PN4F9,On,OK,OK
CASTEL-23,192.168.0.123,30-9C-23-0C-68-CD,DESKTOP-VI1QNL1,On,OK,OK
CASTEL-24,192.168.0.124,08-BF-B8-6E-20-45,DESKTOP-R64IKJE,On,OK,OK
CASTEL-25,192.168.0.125,08-BF-B8-6E-20-F3,DESKTOP-OLV31AA,On,OK,OK
CASTEL-26,192.168.0.126,08-BF-B8-6E-20-4B,DESKTOP-LAO49MJ,On,OK,OK
CASTEL-27,192.168.0.127,08-BF-B8-6E-1F-F5,DESKTOP-3SN2POI,On,OK,OK
CASTEL-28,192.168.0.128,04-7C-16-BD-C2-C6,DESKTOP-2Q8VV2M,On,OK,OK
CASTEL-29,192.168.0.129,04-7C-16-BD-C2-CF,DESKTOP-MIMVNEB,On,OK,OK
CASTEL-30,192.168.0.130,04-7C-16-BD-C3-2F,DESKTOP-GPM0VQR,On,OK,OK
CASTEL-31,192.168.0.131,04-7C-16-BD-C2-9C,DESKTOP-SOG0JGU,On,OK,OK
CASTEL-32,192.168.0.132,04-7C-16-BD-C2-94,DESKTOP-DO7VDTD,On,OK,OK
CASTEL-34,192.168.0.134,08-BF-B8-A3-8A-CD,DESKTOP-DV24P1L,On,OK,OK
CASTEL-35,192.168.0.135,08-BF-B8-BE-76-FC,DESKTOP-VTR4H1N,On,OK,OK
CASTEL-36,192.168.0.136,08-BF-B8-BE-77-0D,DESKTOP-G29IPIP,On,OK,OK
CASTEL-37,192.168.0.137,08-BF-B8-A3-8B-95,DESKTOP-KSK03OQ,On,OK,OK
CASTEL-38,192.168.0.144,04-7C-16-BD-C2-AD,DESKTOP-Q5EDQRQ,On,OK,OK
CASTEL-39,192.168.0.139,08-BF-B8-BE-76-3A,DESKTOP-CSR95DJ,On,OK,OK
CASTEL-40,192.168.0.157,30-9C-23-09-06-4C,Usuario-PC,On,OK,OK
CASTEL-41,192.168.0.246,30-9C-23-AA-BF-D8,DESKTOP-A4GDG3H,On,OK,OK
,192.168.0.1,1C-3B-F3-11-64-D7,,On,NO,NO
,192.168.0.100,30-9C-23-49-F8-3A,DESKTOP-PSDC2AJ,Off,NO,NO
,192.168.0.113,30-9C-23-AA-BF-E9,,Unknown,OK,OK
,192.168.0.143,30-9C-23-AA-BF-FA,,Off,NO,NO
,192.168.0.146,30-9C-23-AA-C1-05,DESKTOP-8O0J1KO,Off,NO,NO
,192.168.0.147,30-9C-23-AA-BF-75,,Off,NO,NO
,192.168.0.148,28-EE-52-05-9B-A8,,On,NO,NO
,192.168.0.149,08-BF-B8-BE-73-EB,,Off,NO,NO
,192.168.0.150,4C-CC-6A-31-30-6B,DESKTOP-HQOEG7Q,Unknown,NO,NO
,192.168.0.150,00-26-73-8C-52-C6,RNP0026738C52C6,On,NO,NO
,192.168.0.151,00-26-73-73-81-5D,RNP00267373815D,On,NO,NO
,192.168.0.152,30-9C-23-D4-B9-E1,,On,NO,NO
,192.168.0.154,30-9C-23-84-A0-FC,,On,NO,NO
,192.168.0.155,70-4F-57-A2-95-87,,On,NO,NO
,192.168.0.156,08-BF-B8-BC-1A-00,DESKTOP-ANR3G7H,On,NO,NO
,192.168.0.158,04-7C-16-BD-C2-BC,,On,NO,NO
,192.168.0.159,4C-ED-FB-C0-9E-DF,DESKTOP-TLBJ6PS,On,NO,NO
,192.168.0.160,30-9C-23-AA-BF-F3,DESKTOP-FUTFPK8,Off,NO,NO
,192.168.0.161,30-9C-23-84-A0-FB,,Off,NO,NO
,192.168.0.162,30-9C-23-AA-BF-DB,,Off,NO,NO
,192.168.0.163,30-9C-23-AA-C0-56,,Off,NO,NO
,192.168.0.164,30-05-5C-8C-00-97,BRN30055C8C0097,On,NO,NO
,192.168.0.165,60-CF-84-62-CD-7E,DESKTOP-AK7IC73,Off,NO,NO
,192.168.0.167,60-CF-84-62-CD-7F,DESKTOP-AK7IC73,On,NO,NO
,192.168.0.168,30-9C-23-AA-C1-09,DESKTOP-LDFQ20Q,Off,NO,NO
,192.168.0.169,70-4F-57-A2-A5-F9,,On,NO,NO
,192.168.0.170,30-9C-23-AA-C1-13,,On,NO,NO
,192.168.0.173,A8-42-A1-B4-54-F5,,On,NO,NO
,192.168.0.174,BC-5F-F4-8C-52-51,INSPECTORIABASI,Off,NO,NO
,192.168.0.178,34-41-5D-05-96-4B,,Off,NO,NO
,192.168.0.182,C8-5B-76-EE-19-46,DESKTOP-GTNE6AH,Off,NO,NO
,192.168.0.183,18-C0-4D-5B-C2-71,DESKTOP-4F4K5N0,Off,NO,NO
,192.168.0.187,18-A6-F7-2B-90-39,,On,NO,NO
,192.168.0.190,D8-CB-8A-A2-8A-EA,DESKTOP-5E8S45M,On,NO,NO
,192.168.0.199,60-CF-84-62-C0-D3,,Off,NO,NO
,192.168.0.210,30-68-93-55-80-B4,MACBOOKAIR-3122,On,NO,NO
,192.168.0.215,30-9C-23-AA-BE-EE,DESKTOP-P5R5I9J,On,NO,NO
,192.168.0.222,BA-15-B8-47-1C-CB,,On,NO,NO
,192.168.0.224,D8-5E-D3-29-5B-D6,,Off,NO,NO
,192.168.0.227,30-9C-23-AA-BF-CB,,Off,NO,NO
,192.168.0.231,30-9C-23-AA-BF-CF,,On,NO,NO
,192.168.0.233,08-BF-B8-BC-18-1B,DESKTOP-4AE8SQ5,On,NO,NO
,192.168.0.234,30-9C-23-AA-BF-37,,On,NO,NO
,192.168.0.236,C0-C1-C0-0D-68-62,,On,NO,NO
,192.168.0.238,00-17-61-11-57-D8,,On,NO,NO
,192.168.0.240,30-9C-23-AA-BF-D5,DESKTOP-CPD32QI,On,NO,NO
,192.168.0.243,08-BF-B8-BC-18-1F,DESKTOP-IHLLLEQ,On,OK,OK
,192.168.0.247,30-9C-23-AA-BF-DF,,On,NO,NO
